Name,Age,Location,Device Usage Log,Voice Command,Security Footage Description,Home Automation Setting,Network Information,Customer Service Interaction
Terri Moore,63,"Fisherborough, Luxembourg","{'device': 'Smart Light', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 22:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '206.27.122.230', 'Wifi_network': 'population', 'Device_ID': 'e7394013-c551-43c0-ae6a-16c4e7593af6'}",Device not responding
Michael Ballard,18,"Port Elizabethtown, France","{'device': 'Security Camera', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 18:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '89.110.122.199', 'Wifi_network': 'cup', 'Device_ID': '41c18e2e-aa8e-46d2-af41-63c42287cd37'}",
Jeffrey Lopez,70,"Michaelmouth, American Samoa","{'device': 'Smart Lock', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '167.16.30.221', 'Wifi_network': 'specific', 'Device_ID': '20d1f920-19df-45b7-b8a5-b94c7aab821c'}",How do I set up voice recognition?
Patrick Sullivan,57,"Daveburgh, Madagascar","{'device': 'Security Camera', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '46.252.153.149', 'Wifi_network': 'father', 'Device_ID': 'd5aca779-bb37-4e3b-9bb9-478ff5f1961b'}",Device not responding
Richard Martinez,67,"Robertview, Jordan","{'device': 'Smart Light', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '207.115.96.90', 'Wifi_network': 'consider', 'Device_ID': '398e99ea-eaeb-4ed1-b46d-d34d09d60392'}",The device is making a strange noise
Breanna Russell,30,"Port Gailshire, Romania","{'device': 'Smart Lock', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '123.101.78.219', 'Wifi_network': 'shoulder', 'Device_ID': 'd0ff9c13-dbfd-4742-8fc9-8a162e2112c6'}",
Jared Esparza,59,"Richardtown, Botswana","{'device': 'Security Camera', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 22:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '128.37.96.190', 'Wifi_network': 'want', 'Device_ID': '52edc078-0d40-4298-8605-40874d17b97b'}",
Brandy Jones,58,"Port Jeffrey, Romania","{'device': 'Smart Light', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '95.195.42.23', 'Wifi_network': 'fine', 'Device_ID': '1a914b55-bf57-4e6f-b9b8-f777a45e0014'}",
Michael Jones,30,"New Victoria, Saint Barthelemy","{'device': 'Smart Light', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '102.152.201.215', 'Wifi_network': 'Democrat', 'Device_ID': 'de36e74f-cd50-430d-85a5-2fba0f620c21'}",Can I add multiple users?
Jaime Craig,67,"East Christina, Cote d'Ivoire","{'device': 'Smart Light', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-27 09:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '191.241.49.239', 'Wifi_network': 'tell', 'Device_ID': 'ec4df8cf-1a9a-4621-9b2a-500888ae7f1e'}",Device not responding
Lisa Sloan,50,"Wilsonland, Guadeloupe","{'device': 'Thermostat', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 18:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '154.159.188.91', 'Wifi_network': 'nation', 'Device_ID': '2c44e717-4504-4355-9740-2056a4bc5b6b'}",
William Roach,44,"Donaldton, Ghana","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-27 10:44:52'}",Play music,"{'time': '2023-10-27 08:44:52', 'activity': None}",,"{'IP_address': '35.143.197.130', 'Wifi_network': 'answer', 'Device_ID': 'bfd5e212-d386-41d6-907d-8e48024a5999'}",How do I set up voice recognition?
Ricky Gould,33,"North Dawnstad, Eritrea","{'device': 'Security Camera', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 07:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '199.103.161.4', 'Wifi_network': 'method', 'Device_ID': '162d9218-f256-4e4f-bc47-49ee9880193f'}",
Madison Gould,41,"West Kevinmouth, Guyana","{'device': 'Smart Light', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-28 05:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '80.72.30.195', 'Wifi_network': 'message', 'Device_ID': '50a9d558-94a2-46cf-86fa-22dd3deeeb01'}",The device is making a strange noise
Jeffrey Rhodes,53,"Wolfeport, Martinique","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-28 02:44:52'}",What’s the weather?,"{'time': '2023-10-28 04:44:52', 'activity': None}",,"{'IP_address': '30.185.39.131', 'Wifi_network': 'speak', 'Device_ID': 'e41675fc-d02e-45b9-ab2d-cd1b71ea65e0'}",
Jeffrey Hall,31,"Lake Nancyfurt, Montenegro","{'device': 'Smart Light', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 09:44:52'}",,"{'time': '2023-10-28 00:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '100.31.93.250', 'Wifi_network': 'million', 'Device_ID': '27b029cc-8650-4284-9f4c-4eb316da3b34'}",Device not responding
Lisa Trevino,54,"New Suzanne, Saint Vincent and the Grenadines","{'device': 'Smart Light', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 09:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '204.136.164.210', 'Wifi_network': 'market', 'Device_ID': '093ba298-51c6-4d4f-b396-68afb34664ee'}",
Linda Smith,22,"Raymondview, Egypt","{'device': 'Smart Light', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '107.49.49.114', 'Wifi_network': 'explain', 'Device_ID': '2fb52691-f4ff-461c-96aa-e7a901334ad6'}",How do I set up voice recognition?
James Hayes,58,"Silvaburgh, Bermuda","{'device': 'Smart Lock', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '52.106.8.20', 'Wifi_network': 'head', 'Device_ID': 'c60b9f49-156d-4e3d-8a21-0b83c601b521'}",How do I set up voice recognition?
Mr. Derek Pacheco,61,"Lake Jessica, Nepal","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-28 00:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 16:44:52', 'activity': None}",,"{'IP_address': '121.230.223.229', 'Wifi_network': 'town', 'Device_ID': 'b8d5cdca-5cea-45d9-9f9f-2f5b3308ad42'}",
Edwin Collins,53,"West Julie, Venezuela","{'device': 'Thermostat', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '115.20.225.41', 'Wifi_network': 'amount', 'Device_ID': 'af5994fd-21a3-49c6-8e9b-8c5aa14001c0'}",
Michael Day,58,"South Jaclyn, Falkland Islands (Malvinas)","{'device': 'Smart Lock', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '99.47.58.37', 'Wifi_network': 'at', 'Device_ID': 'bacbb66b-ca7c-476c-b615-b2fd26dee478'}",
Jesus Harper,62,"South Stacyberg, Lithuania","{'device': 'Smart Lock', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '27.140.204.154', 'Wifi_network': 'ever', 'Device_ID': '1e6970fd-d46d-4f81-b807-06b802c76635'}",
Todd Berg,19,"Mitchellside, Liberia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 16:44:52'}",What’s the weather?,"{'time': '2023-10-27 16:44:52', 'activity': None}",,"{'IP_address': '170.250.15.169', 'Wifi_network': 'truth', 'Device_ID': '4089f0de-fd6d-48ce-a4e1-f36617c08577'}",
Mark Hernandez,41,"Ramirezstad, Somalia","{'device': 'Smart Lock', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '103.6.78.90', 'Wifi_network': 'many', 'Device_ID': 'd2462637-2165-4cdb-895d-74bc66414387'}",Can I add multiple users?
Lisa Vasquez,44,"East Taraville, Andorra","{'device': 'Security Camera', 'usage_start': '2023-10-28 01:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '97.9.84.160', 'Wifi_network': 'have', 'Device_ID': '0e97ccd2-095d-4478-be13-3030e228a46c'}",
Hailey Thompson DVM,68,"Davisside, Peru","{'device': 'Smart Light', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '9.169.111.235', 'Wifi_network': 'then', 'Device_ID': '86106177-8b35-4b39-91c9-99ec6f2ad8ad'}",
John Herrera,50,"Heatherport, Saint Kitts and Nevis","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-27 12:44:52'}",What’s the weather?,"{'time': '2023-10-28 04:44:52', 'activity': None}",,"{'IP_address': '141.94.243.69', 'Wifi_network': 'provide', 'Device_ID': '405b3957-1173-4aea-bc65-920008d848e7'}",Device not responding
Stacey Gregory,71,"Davisview, Uganda","{'device': 'Security Camera', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '189.178.114.129', 'Wifi_network': 'get', 'Device_ID': '2a2c03c5-7175-4ea7-8430-fb38e4aa01e3'}",
Veronica Bender,26,"Lake Christopherburgh, Marshall Islands","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-28 01:44:52'}",Read my notifications,"{'time': '2023-10-27 08:44:52', 'activity': None}",,"{'IP_address': '149.206.247.162', 'Wifi_network': 'apply', 'Device_ID': '65d41a06-2648-4663-ba5e-ab07beac34c8'}",Can I add multiple users?
Benjamin Hardy,74,"Tonychester, Gambia","{'device': 'Smart Lock', 'usage_start': '2023-10-27 14:44:52', 'usage_end': '2023-10-27 15:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '48.238.44.54', 'Wifi_network': 'develop', 'Device_ID': 'ca9494e8-3b1e-4a7c-b32d-1d3ed21ff643'}",The device is making a strange noise
Virginia Hill,56,"Amyhaven, Vietnam","{'device': 'Smart Light', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '121.23.227.81', 'Wifi_network': 'cell', 'Device_ID': '8e5ecfd7-799d-41cd-88df-b7ce3903c0cf'}",The device is making a strange noise
Fred Rodriguez,67,"Lowefort, Tokelau","{'device': 'Thermostat', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '9.58.111.99', 'Wifi_network': 'specific', 'Device_ID': '5ef63038-8df3-4cc9-a03d-7e13305522cb'}",
Amy Murray MD,49,"South Sonya, Tunisia","{'device': 'Thermostat', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '177.163.205.133', 'Wifi_network': 'exactly', 'Device_ID': '803c6d60-5326-42b9-bcbd-3c25cc7b74b5'}",
Pamela Lawrence,35,"New Jessica, Angola","{'device': 'Smart Light', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '189.142.160.189', 'Wifi_network': 'letter', 'Device_ID': 'be77587d-152d-4705-be11-f98dfd0382ab'}",
David Jackson,67,"Davidmouth, Bosnia and Herzegovina","{'device': 'Smart Light', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '93.63.255.215', 'Wifi_network': 'here', 'Device_ID': '5f488fba-77ec-4af3-b5a2-01c7bcfc1d30'}",
Corey Williams,66,"Port Wendytown, Dominican Republic","{'device': 'Thermostat', 'usage_start': '2023-10-27 14:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '4.138.137.84', 'Wifi_network': 'single', 'Device_ID': '401a57d9-e4e7-4c9d-986f-31a6002f8178'}",The device is making a strange noise
Kari Harding,55,"Amyberg, Kenya","{'device': 'Security Camera', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': 'Window broken'}",,"{'IP_address': '193.227.240.247', 'Wifi_network': 'head', 'Device_ID': '14050180-d2a6-4c51-90db-420acccfda2a'}",How do I set up voice recognition?
Lawrence Richardson,69,"East Theresa, Togo","{'device': 'Smart Lock', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 09:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '54.235.146.9', 'Wifi_network': 'important', 'Device_ID': 'b3ce87f4-da1c-4abd-bf21-952bfd997ca5'}",
Stacey Thompson,69,"East Gregory, Romania","{'device': 'Security Camera', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '206.97.79.71', 'Wifi_network': 'staff', 'Device_ID': 'd9374a16-0e2f-45df-8b9d-09b48f5162c1'}",The device is making a strange noise
Cesar Rios,26,"New Victoria, Slovakia (Slovak Republic)","{'device': 'Smart Light', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-27 19:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '22.73.29.75', 'Wifi_network': 'network', 'Device_ID': '18284c46-e614-4086-b91b-5662e3f3d13a'}",
Alyssa Nichols,39,"Port Omar, Singapore","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 22:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-28 02:44:52', 'activity': None}",,"{'IP_address': '56.160.158.31', 'Wifi_network': 'mention', 'Device_ID': '111af61c-b219-4f14-9d00-5671ea6ba01c'}",Can I add multiple users?
Heather Torres,33,"Haynesview, India","{'device': 'Smart Lock', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '160.147.124.238', 'Wifi_network': 'offer', 'Device_ID': '6ec6e050-3ec3-49d1-86b2-94286232366c'}",How do I set up voice recognition?
Kristen Campbell,28,"South Shawn, Svalbard & Jan Mayen Islands","{'device': 'Smart Light', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '49.46.9.211', 'Wifi_network': 'pick', 'Device_ID': '8b17d017-732d-4038-a023-4595834ffb8b'}",The device is making a strange noise
Angela Doyle,58,"Johnnyside, Central African Republic","{'device': 'Smart Light', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '40.248.35.165', 'Wifi_network': 'administration', 'Device_ID': '2b2423c9-df4f-4fa1-9209-f2c3660fd205'}",Device not responding
Phillip Green,75,"Lake Ryan, Aruba","{'device': 'Thermostat', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 11:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '62.27.192.238', 'Wifi_network': 'discussion', 'Device_ID': '43c92019-ca23-42c0-af7e-d0cb5fc7f592'}",How do I set up voice recognition?
Miguel Moore,58,"Lake Markberg, Macao","{'device': 'Thermostat', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '69.47.60.239', 'Wifi_network': 'big', 'Device_ID': 'a1bfbf81-84a7-49a6-bae9-97bda7bef13a'}",Can I add multiple users?
Jose Freeman,67,"South Ariana, Slovenia","{'device': 'Security Camera', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-28 04:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '2.224.10.105', 'Wifi_network': 'tend', 'Device_ID': '9fa01d39-c398-42b7-bca7-6174705c9a43'}",
Jamie Singh,26,"Alishamouth, Ethiopia","{'device': 'Smart Light', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '199.115.214.248', 'Wifi_network': 'make', 'Device_ID': '32cf0235-9be6-49c9-90e3-547766d33a2b'}",
Judith Vazquez,39,"Franklinport, Sierra Leone","{'device': 'Smart Lock', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '14.66.227.104', 'Wifi_network': 'attorney', 'Device_ID': 'cc9fdeef-072e-49ba-962b-8e0d3560b79b'}",Device not responding
Manuel Huynh,45,"New Troy, Greenland","{'device': 'Thermostat', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 19:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '192.198.34.112', 'Wifi_network': 'medical', 'Device_ID': '25d9c310-0bcc-416b-a00c-e4e3d3845a0c'}",How do I set up voice recognition?
Brenda Simpson,44,"West Geraldton, Guinea-Bissau","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-28 03:44:52'}",Turn off the living room light,"{'time': '2023-10-27 08:44:52', 'activity': None}",,"{'IP_address': '183.41.188.72', 'Wifi_network': 'these', 'Device_ID': 'b24768ae-f277-45ac-8820-a75761b7b882'}",
Kimberly Summers,75,"New Teresa, Mauritius","{'device': 'Security Camera', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': 'Window broken'}",,"{'IP_address': '181.72.228.71', 'Wifi_network': 'series', 'Device_ID': '6576a308-0def-49f2-8f2b-f4ee5ef5fc48'}",How do I set up voice recognition?
Kyle Butler,42,"Davidstad, Mozambique","{'device': 'Smart Lock', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '130.37.114.88', 'Wifi_network': 'hundred', 'Device_ID': '1b8fc105-87a8-4065-b43b-bd85eaff7b2d'}",Can I add multiple users?
Gary Alvarez,67,"West Marymouth, Slovenia","{'device': 'Smart Lock', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-27 07:44:52'}",,"{'time': '2023-10-28 00:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '171.154.201.41', 'Wifi_network': 'young', 'Device_ID': '269aa265-1f91-4489-9908-7944aaacbfe3'}",How do I set up voice recognition?
Jeffrey Turner,24,"South Logan, Grenada","{'device': 'Smart Light', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '13.22.125.120', 'Wifi_network': 'image', 'Device_ID': 'cdb10f51-aa54-427f-b9b2-e64c2dbb04e4'}",
Carol Tran,43,"Port Thomasport, Bermuda","{'device': 'Thermostat', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '123.185.167.157', 'Wifi_network': 'not', 'Device_ID': '8a49c78a-e21f-41a3-859e-84e27a2b37e3'}",How do I set up voice recognition?
Jessica Cobb,29,"Reyesborough, Madagascar","{'device': 'Thermostat', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '99.160.188.123', 'Wifi_network': 'discussion', 'Device_ID': '8c1c7b92-8550-4271-b1b5-efeb12b3f12f'}",Can I add multiple users?
Jordan King,48,"Port Tracy, Bulgaria","{'device': 'Security Camera', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 18:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '102.192.99.208', 'Wifi_network': 'ten', 'Device_ID': 'b0a018e9-e940-4599-bdc1-c8506698bced'}",The device is making a strange noise
Jeremiah Brewer,54,"East Lisabury, Bosnia and Herzegovina","{'device': 'Security Camera', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 11:44:52'}",,"{'time': '2023-10-28 00:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '150.62.159.130', 'Wifi_network': 'rather', 'Device_ID': 'ac03be92-d172-4d30-abba-a238d6f8c614'}",
Haley Young,49,"Cindyfurt, Georgia","{'device': 'Smart Light', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '14.181.155.254', 'Wifi_network': 'ago', 'Device_ID': '9ee4fa07-b0a6-410e-95fb-78a573019b82'}",The device is making a strange noise
Dr. Elizabeth Rodriguez,45,"Dennisberg, American Samoa","{'device': 'Thermostat', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '57.76.197.74', 'Wifi_network': 'back', 'Device_ID': '3da78b30-c451-4c2e-9f2d-f0a65ab6b82c'}",How do I set up voice recognition?
Phillip Marshall,72,"Lake Cynthia, Bouvet Island (Bouvetoya)","{'device': 'Smart Lock', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-28 04:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '9.28.228.82', 'Wifi_network': 'various', 'Device_ID': 'e77cb0a6-91cc-4bf0-8a42-cf680374d84a'}",
Denise Mcdaniel,29,"Schmidtshire, Jordan","{'device': 'Smart Lock', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '32.151.85.113', 'Wifi_network': 'ground', 'Device_ID': '2c1546ea-685d-4248-88fe-a6f66ba7d435'}",
Christopher Berger,43,"Karenstad, South Georgia and the South Sandwich Islands","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 21:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 06:44:52', 'activity': None}",,"{'IP_address': '106.245.52.115', 'Wifi_network': 'last', 'Device_ID': '794be9d8-eb28-4257-9a0f-d5ce1f6a67f3'}",
Todd Vargas,25,"South Misty, Ethiopia","{'device': 'Thermostat', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '185.231.248.178', 'Wifi_network': 'official', 'Device_ID': 'f5b6605a-8e36-4e5f-a293-90a137b2b0f8'}",Can I add multiple users?
Shawn Navarro,24,"Corymouth, North Macedonia","{'device': 'Smart Lock', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '68.222.96.173', 'Wifi_network': 'that', 'Device_ID': '62f55209-b51e-44eb-872f-229bb23e1d99'}",
Miss Amy Lopez,58,"West Heatherton, Monaco","{'device': 'Smart Lock', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '58.167.166.111', 'Wifi_network': 'us', 'Device_ID': '3d2fd7ce-6be4-4451-b49d-04f5b2a5cfb7'}",Can I add multiple users?
Steven Walton,19,"Darrellville, Dominica","{'device': 'Security Camera', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '144.250.252.243', 'Wifi_network': 'term', 'Device_ID': '0ea269a6-f8ee-4900-aaca-4d6388c4a7e9'}",How do I set up voice recognition?
Mr. Jeremy Mccarthy,39,"Fieldsmouth, Algeria","{'device': 'Smart Light', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '14.35.164.148', 'Wifi_network': 'whose', 'Device_ID': '3a799a0b-70f5-4869-a384-84871cc301ff'}",
Kaitlin Montoya,34,"North Christopher, Paraguay","{'device': 'Security Camera', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 07:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '166.35.80.100', 'Wifi_network': 'in', 'Device_ID': 'c768746a-9294-46b5-a887-dfbe19f70670'}",
