Name,Age,Location,Allergens,Dietary Restriction,Dining Experience,User Interaction
Erica Sampson,24,South Kristenside,['Shellfish'],Kosher,"{'restaurant_name': 'Woods Ltd', 'meal_type': 'Main Course', 'menu_selection': 'Who father seek too check today.', 'special_requests': 'Shellfish', 'feedback': 'Neutral'}","{'staff_interaction': 'Mention mention marriage house party firm.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Sharon Farmer,56,South Johnmouth,[],Gluten Free,"{'restaurant_name': 'Wallace, Gonzales and Patel', 'meal_type': 'Drink', 'menu_selection': 'Recent media west society region it my step.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Travel despite project poor simple minute establish year.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Kayla Lee,50,Aliciamouth,['Tree nuts'],Vegetarian,"{'restaurant_name': 'Johnson and Sons', 'meal_type': 'Main Course', 'menu_selection': 'This leader edge trip notice father behind wish.', 'special_requests': 'Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Place speech green free.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Tracy Bailey,29,South Caleb,['Shellfish'],Low Fat,"{'restaurant_name': 'Pierce, Martin and Klein', 'meal_type': 'Dessert', 'menu_selection': 'Little water join cover me.', 'special_requests': 'Shellfish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Worker term before many.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Karen Hale,28,Port James,['Soy'],Vegan,"{'restaurant_name': 'Thompson Group', 'meal_type': 'Main Course', 'menu_selection': 'Whatever around ask way animal activity somebody.', 'special_requests': 'Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Mouth southern again use three election paper page.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Joanna Jefferson,27,North Seanport,"['Milk', 'Egg', 'Peanuts']",Vegetarian,"{'restaurant_name': 'Myers, Berg and Lozano', 'meal_type': 'Main Course', 'menu_selection': 'Want receive west prevent for.', 'special_requests': 'Milk, Egg, Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Chair sell artist maintain artist evidence.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Cameron Mendez,39,Melissatown,"['Egg', 'Wheat', 'Shellfish']",Halal,"{'restaurant_name': 'Matthews-Allen', 'meal_type': 'Dessert', 'menu_selection': 'Thousand throw on probably material true down.', 'special_requests': 'Egg, Wheat, Shellfish', 'feedback': 'Neutral'}","{'staff_interaction': 'Hope bag myself more.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Brandy White,31,Brownborough,"['Soy', 'Tree nuts']",Vegan,"{'restaurant_name': 'Allen-Flores', 'meal_type': 'Dessert', 'menu_selection': 'Own where especially politics cost.', 'special_requests': 'Soy, Tree nuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Act race medical like agree action reality.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Wendy Martinez,22,New Johnland,[],Gluten Free,"{'restaurant_name': 'Bass-Miller', 'meal_type': 'Starter', 'menu_selection': 'Then man western official believe.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Important standard coach morning long politics.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Jonathan Rogers,59,South Darren,[],Keto,"{'restaurant_name': 'Goodman, Evans and Parks', 'meal_type': 'Dessert', 'menu_selection': 'Law same west might ten.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Political tough expect hope.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Lisa Mcneil,32,Mcculloughville,"['Soy', 'Milk']",Keto,"{'restaurant_name': 'Alexander, Hughes and Jacobson', 'meal_type': 'Starter', 'menu_selection': 'Truth note do learn.', 'special_requests': 'Soy, Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Serve civil eat will dog toward act never.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Megan Boyer,58,Jimmyview,"['Peanuts', 'Shellfish', 'Tree nuts']",Gluten Free,"{'restaurant_name': 'White Inc', 'meal_type': 'Starter', 'menu_selection': 'Your probably prevent hospital source deal.', 'special_requests': 'Peanuts, Shellfish, Tree nuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Everybody trip community high reality across three physical.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Elaine Cowan PhD,50,East Mary,"['Peanuts', 'Milk', 'Tree nuts']",Halal,"{'restaurant_name': 'Goodman-Nichols', 'meal_type': 'Starter', 'menu_selection': 'Mother reduce eye phone ten then.', 'special_requests': 'Peanuts, Milk, Tree nuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Race then this light bill standard.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Jennifer Reid,39,New Cynthia,[],Gluten Free,"{'restaurant_name': 'Potter-Wagner', 'meal_type': 'Drink', 'menu_selection': 'Good its life.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Nation vote yeah economic nature social per town.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Elizabeth Hale,43,Nathanfort,"['Soy', 'Tree nuts']",Gluten Free,"{'restaurant_name': 'Scott-Jackson', 'meal_type': 'Dessert', 'menu_selection': 'Second recent ago break focus perhaps ready.', 'special_requests': 'Soy, Tree nuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Tree true couple walk.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Elizabeth David,19,Port Benjamin,"['Tree nuts', 'Soy', 'Egg']",Kosher,"{'restaurant_name': 'Palmer Group', 'meal_type': 'Main Course', 'menu_selection': 'Measure even cell election change important point.', 'special_requests': 'Tree nuts, Soy, Egg', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Analysis author visit usually should particularly apply.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Mary Guerrero,56,Dicksonland,['Soy'],Halal,"{'restaurant_name': 'Lindsey LLC', 'meal_type': 'Starter', 'menu_selection': 'Too century wait identify care.', 'special_requests': 'Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Mother nearly only nice or former.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Shannon Thompson,31,Suttonborough,['Egg'],Halal,"{'restaurant_name': 'Moon, Clark and Peterson', 'meal_type': 'Dessert', 'menu_selection': 'Difficult already sport TV good best agency.', 'special_requests': 'Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Person southern rich another face already prepare.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Brett Ramirez,43,Nataliefort,"['Shellfish', 'Egg', 'Milk']",Keto,"{'restaurant_name': 'Mcdonald Inc', 'meal_type': 'Dessert', 'menu_selection': 'Father factor agent.', 'special_requests': 'Shellfish, Egg, Milk', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Cell former produce best argue them common nothing.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Joanne Jordan,21,Port Jessicamouth,[],Halal,"{'restaurant_name': 'Martinez, Lowe and Barajas', 'meal_type': 'Main Course', 'menu_selection': 'Similar certain learn herself pattern cut.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Consider rock strategy experience then.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Marissa Gomez,37,Jodyton,"['Egg', 'Fish', 'Peanuts']",Keto,"{'restaurant_name': 'Jennings, Vaughan and Bates', 'meal_type': 'Main Course', 'menu_selection': 'Drive capital director establish simply ability example available.', 'special_requests': 'Egg, Fish, Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Describe attack most know across describe degree.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Karen Lang,51,Victorfurt,"['Fish', 'Egg']",Keto,"{'restaurant_name': 'Russo-Robertson', 'meal_type': 'Drink', 'menu_selection': 'Walk medical citizen keep.', 'special_requests': 'Fish, Egg', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Add life loss citizen sign start student.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Julie Lopez,30,Crystalview,['Peanuts'],Halal,"{'restaurant_name': 'Anderson, Jones and Miller', 'meal_type': 'Starter', 'menu_selection': 'Eight explain game thank.', 'special_requests': 'Peanuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Believe matter open performance.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
John Smith,20,South Donnafort,"['Peanuts', 'Shellfish']",Vegetarian,"{'restaurant_name': 'Zamora-Greer', 'meal_type': 'Dessert', 'menu_selection': 'Second sure maybe claim loss media day surface.', 'special_requests': 'Peanuts, Shellfish', 'feedback': 'Neutral'}","{'staff_interaction': 'By weight finally four open various write.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Bobby Robertson,28,East Timshire,"['Wheat', 'Fish']",Low Fat,"{'restaurant_name': 'Butler-Robinson', 'meal_type': 'Dessert', 'menu_selection': 'Result week capital western cover.', 'special_requests': 'Wheat, Fish', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Pretty behavior to.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Randall Petty,28,Fernandezbury,[],Halal,"{'restaurant_name': 'Hernandez-Rodriguez', 'meal_type': 'Drink', 'menu_selection': 'Majority create little.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Ability live general.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Luis Weber,24,Yorkfort,"['Fish', 'Tree nuts']",Kosher,"{'restaurant_name': 'Wright, Salinas and Sanchez', 'meal_type': 'Drink', 'menu_selection': 'Unit yourself difference hear collection.', 'special_requests': 'Fish, Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Into until involve day.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Megan Brown,27,Ellismouth,"['Peanuts', 'Egg', 'Tree nuts']",Keto,"{'restaurant_name': 'Hernandez Ltd', 'meal_type': 'Starter', 'menu_selection': 'Republican more yes rest no.', 'special_requests': 'Peanuts, Egg, Tree nuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'World door wait billion alone ability adult.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Heather Cruz,40,Lake Coreymouth,['Peanuts'],Kosher,"{'restaurant_name': 'Doyle, Berry and Anthony', 'meal_type': 'Main Course', 'menu_selection': 'Every health side.', 'special_requests': 'Peanuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Can receive day edge interesting let.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Brenda Brown,48,Webbton,"['Wheat', 'Shellfish']",Vegan,"{'restaurant_name': 'Fuentes-Pennington', 'meal_type': 'Starter', 'menu_selection': 'You moment whether according lay key beyond.', 'special_requests': 'Wheat, Shellfish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Reach back film same half floor herself.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Andrea Liu,59,Devinbury,"['Shellfish', 'Tree nuts', 'Egg']",Kosher,"{'restaurant_name': 'Ellis LLC', 'meal_type': 'Dessert', 'menu_selection': 'Without ground though remember relationship him.', 'special_requests': 'Shellfish, Tree nuts, Egg', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Good direction sing decade rock.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Melissa Spencer,48,Jessicaport,"['Fish', 'Soy']",Low Fat,"{'restaurant_name': 'Baxter and Sons', 'meal_type': 'Drink', 'menu_selection': 'Three behavior campaign guess would improve cold.', 'special_requests': 'Fish, Soy', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Audience each customer agree.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Jacob Leblanc,47,Espinozamouth,"['Wheat', 'Peanuts', 'Tree nuts']",Vegetarian,"{'restaurant_name': 'Gomez-Khan', 'meal_type': 'Drink', 'menu_selection': 'Analysis leg stand guy operation.', 'special_requests': 'Wheat, Peanuts, Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Newspaper myself respond can.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Kristen Diaz,60,Jeffreytown,[],Low Fat,"{'restaurant_name': 'Arnold-Bautista', 'meal_type': 'Starter', 'menu_selection': 'Husband stage nothing street yes throw.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Network of break shoulder.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Jonathan Norman,43,Murrayville,"['Milk', 'Tree nuts', 'Fish']",Vegan,"{'restaurant_name': 'Robinson-Burton', 'meal_type': 'Drink', 'menu_selection': 'Political rather any arrive method left case.', 'special_requests': 'Milk, Tree nuts, Fish', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Teacher oil pretty moment range.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Justin Smith,23,Marilynfort,"['Soy', 'Peanuts', 'Shellfish']",Halal,"{'restaurant_name': 'Rogers-Nash', 'meal_type': 'Main Course', 'menu_selection': 'Support person watch reflect wall material guy.', 'special_requests': 'Soy, Peanuts, Shellfish', 'feedback': 'Satisfied'}","{'staff_interaction': 'Movement them much relate believe.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Nichole Cooper,55,Mccoymouth,"['Tree nuts', 'Peanuts']",Keto,"{'restaurant_name': 'Singleton and Sons', 'meal_type': 'Dessert', 'menu_selection': 'Pattern pressure never check my.', 'special_requests': 'Tree nuts, Peanuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Identify just country Mr record citizen goal these.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Paul Chapman,29,Clairefort,"['Fish', 'Milk', 'Tree nuts']",Vegan,"{'restaurant_name': 'Rush-Salazar', 'meal_type': 'Starter', 'menu_selection': 'White cost can over.', 'special_requests': 'Fish, Milk, Tree nuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Two call hospital full discussion off.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Rebecca Frank,22,South Johnnymouth,[],Kosher,"{'restaurant_name': 'Cardenas and Sons', 'meal_type': 'Starter', 'menu_selection': 'Pm sit moment yourself.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Can style theory leader official personal become week.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Most Details Public'}"
Todd Gallagher,31,Hendersonland,"['Soy', 'Shellfish']",Low Fat,"{'restaurant_name': 'Nielsen, Morris and Murray', 'meal_type': 'Starter', 'menu_selection': 'After chance east full compare contain social.', 'special_requests': 'Soy, Shellfish', 'feedback': 'Satisfied'}","{'staff_interaction': 'Economy current support.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Rebecca Bradley,55,Millerchester,['Peanuts'],Vegetarian,"{'restaurant_name': 'Lucas, Gutierrez and Williams', 'meal_type': 'Dessert', 'menu_selection': 'Water far need among thank dream cell.', 'special_requests': 'Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Throughout west age yeah top.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Kelsey Williams,26,New Marie,"['Fish', 'Tree nuts', 'Egg']",Vegetarian,"{'restaurant_name': 'Perez, Hogan and Williams', 'meal_type': 'Main Course', 'menu_selection': 'Know mouth education do their alone.', 'special_requests': 'Fish, Tree nuts, Egg', 'feedback': 'Satisfied'}","{'staff_interaction': 'Child leave ground discuss glass.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Jennifer Pennington,26,Santiagoberg,['Peanuts'],Vegetarian,"{'restaurant_name': 'Harris Inc', 'meal_type': 'Starter', 'menu_selection': 'Enough common from we.', 'special_requests': 'Peanuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Develop service tonight.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Mikayla Wood,56,Jacksonfort,"['Fish', 'Peanuts']",Keto,"{'restaurant_name': 'Evans Group', 'meal_type': 'Starter', 'menu_selection': 'Sing relationship still open similar.', 'special_requests': 'Fish, Peanuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Support name might different.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Christopher Shelton,59,Mirandaville,['Tree nuts'],Vegan,"{'restaurant_name': 'Reyes LLC', 'meal_type': 'Main Course', 'menu_selection': 'Through program public.', 'special_requests': 'Tree nuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Stop well change American young participant than.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Jennifer Campos,22,North Johnmouth,"['Fish', 'Egg']",Halal,"{'restaurant_name': 'Mann Ltd', 'meal_type': 'Dessert', 'menu_selection': 'Attention account southern state nor defense story.', 'special_requests': 'Fish, Egg', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Father look week almost door determine these.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Bryan Kelly,56,New Michael,['Peanuts'],Kosher,"{'restaurant_name': 'Hubbard, Williams and Frederick', 'meal_type': 'Dessert', 'menu_selection': 'Which ground conference get success near.', 'special_requests': 'Peanuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Possible wait blood color also as assume.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Dustin Gomez,26,Garyside,"['Tree nuts', 'Wheat', 'Soy']",Low Fat,"{'restaurant_name': 'Garcia, Sparks and Delacruz', 'meal_type': 'Starter', 'menu_selection': 'Everyone relate condition particular him hair.', 'special_requests': 'Tree nuts, Wheat, Soy', 'feedback': 'Neutral'}","{'staff_interaction': 'Right lawyer door policy ok cover.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Cynthia Fisher,47,West Jasonshire,['Tree nuts'],Keto,"{'restaurant_name': 'Lawson-Walsh', 'meal_type': 'Drink', 'menu_selection': 'Carry mention physical record sister cup.', 'special_requests': 'Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Example picture school because room read.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Nathan Gonzalez,53,Port Gregoryville,"['Fish', 'Soy']",Kosher,"{'restaurant_name': 'Miller, Manning and Holden', 'meal_type': 'Main Course', 'menu_selection': 'Word method themselves range save.', 'special_requests': 'Fish, Soy', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Power bit generation hotel economic stop.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Brandon Walker,21,South Brentmouth,"['Peanuts', 'Tree nuts']",Low Fat,"{'restaurant_name': 'Smith-Vaughn', 'meal_type': 'Dessert', 'menu_selection': 'Resource order hear sport attorney fire.', 'special_requests': 'Peanuts, Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Kid major about action everybody.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Stefanie Hill,34,New Leahshire,"['Wheat', 'Milk', 'Peanuts']",Low Fat,"{'restaurant_name': 'Obrien, Browning and Reyes', 'meal_type': 'Drink', 'menu_selection': 'Table finish again seem job.', 'special_requests': 'Wheat, Milk, Peanuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Manage top according group radio.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Sarah Wilson,21,Sanchezland,[],Vegan,"{'restaurant_name': 'Miller Inc', 'meal_type': 'Dessert', 'menu_selection': 'Girl account never member even rock.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Street charge interview affect condition.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Laura Gonzales,48,North Sethland,['Egg'],Kosher,"{'restaurant_name': 'Robinson, Hamilton and King', 'meal_type': 'Starter', 'menu_selection': 'Law improve party skin necessary.', 'special_requests': 'Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'We your reveal writer.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Ashley Lopez,39,Reyestown,"['Fish', 'Tree nuts', 'Egg']",Keto,"{'restaurant_name': 'Collins, Adams and Olson', 'meal_type': 'Main Course', 'menu_selection': 'Including look with manager or loss five mean.', 'special_requests': 'Fish, Tree nuts, Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Region door take program write.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Jacob Smith,54,Watsonland,"['Wheat', 'Soy']",Keto,"{'restaurant_name': 'Hopkins, Reeves and Johnson', 'meal_type': 'Dessert', 'menu_selection': 'Find local direction measure control.', 'special_requests': 'Wheat, Soy', 'feedback': 'Neutral'}","{'staff_interaction': 'Hard serious site big girl of.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Steve Nelson,19,Masonton,['Wheat'],Vegetarian,"{'restaurant_name': 'Lee, Summers and Welch', 'meal_type': 'Dessert', 'menu_selection': 'Yes cause car.', 'special_requests': 'Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Data guess top recognize.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Samantha Moreno,56,Chapmanport,[],Halal,"{'restaurant_name': 'May Group', 'meal_type': 'Starter', 'menu_selection': 'Five meet organization fire win right.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Know along executive represent probably wind.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Kimberly Oliver,20,West Stephanieville,[],Kosher,"{'restaurant_name': 'Harrell-Lester', 'meal_type': 'Drink', 'menu_selection': 'Role certainly weight later yard politics ever degree.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Nothing catch force war where western some star.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
James Reed,51,Sheilastad,"['Fish', 'Peanuts', 'Wheat']",Kosher,"{'restaurant_name': 'Mcgee Group', 'meal_type': 'Drink', 'menu_selection': 'Person phone special they.', 'special_requests': 'Fish, Peanuts, Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Entire kind success serious.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Casey Hammond,59,Barnesport,['Shellfish'],Vegetarian,"{'restaurant_name': 'King, Smith and Johnson', 'meal_type': 'Starter', 'menu_selection': 'Skill maintain high quality word.', 'special_requests': 'Shellfish', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Win reveal try unit religious.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Most Details Public'}"
Daniel Sanchez,32,New Heatherstad,[],Gluten Free,"{'restaurant_name': 'Fletcher, Flores and Shepard', 'meal_type': 'Drink', 'menu_selection': 'Customer though character lead fall near.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Always protect soon court.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Travis Pitts,28,Port Kristina,"['Shellfish', 'Fish', 'Soy']",Keto,"{'restaurant_name': 'Sanchez, Craig and Smith', 'meal_type': 'Dessert', 'menu_selection': 'Even explain us someone condition.', 'special_requests': 'Shellfish, Fish, Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Walk wall TV guy shoulder cell.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Harry Madden,45,Powersview,"['Tree nuts', 'Wheat']",Keto,"{'restaurant_name': 'Moreno-Solis', 'meal_type': 'Starter', 'menu_selection': 'Should about short total whatever.', 'special_requests': 'Tree nuts, Wheat', 'feedback': 'Satisfied'}","{'staff_interaction': 'Discuss improve writer someone over.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Michael Page,43,Port Jamesfort,"['Egg', 'Soy', 'Tree nuts']",Keto,"{'restaurant_name': 'Evans Ltd', 'meal_type': 'Drink', 'menu_selection': 'Rule similar have language agency discussion modern.', 'special_requests': 'Egg, Soy, Tree nuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Section push major.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Justin Davis,43,West Veronicaport,"['Milk', 'Fish', 'Peanuts']",Vegetarian,"{'restaurant_name': 'King-Harper', 'meal_type': 'Starter', 'menu_selection': 'Station everyone hard chair happy.', 'special_requests': 'Milk, Fish, Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Resource then scene much them event world.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Frederick Schmitt,37,Stanleymouth,[],Halal,"{'restaurant_name': 'Rose Ltd', 'meal_type': 'Drink', 'menu_selection': 'Health performance travel class believe turn.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Film opportunity ahead research language nature.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
